City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain (inches),Snow (inches)
328,Uvira,-3.41,29.15,77.07,59,27,6.62,CD,2020-06-28 16:16:03,scattered clouds,0.0,0.0
329,Itupiranga,-5.13,-49.33,95.0,44,40,4.7,BR,2020-06-28 16:17:41,scattered clouds,0.0,0.0
330,Tagusao,9.19,117.81,78.73,79,100,1.54,PH,2020-06-28 16:17:41,overcast clouds,0.0,0.0
331,Zhigansk,66.77,123.37,65.37,57,0,12.08,RU,2020-06-28 16:17:41,clear sky,0.0,0.0
332,Bol,13.46,14.71,87.82,59,22,3.44,TD,2020-06-28 16:17:41,few clouds,0.0,0.0
333,La Paz,-16.5,-68.15,53.6,22,0,9.17,BO,2020-06-28 16:13:49,clear sky,0.0,0.0
334,Akyab,20.15,92.9,82.36,82,92,6.71,MM,2020-06-28 16:17:41,light rain,0.45,0.0
335,Pedra Branca,-5.45,-39.72,84.09,52,1,9.55,BR,2020-06-28 16:17:41,clear sky,0.0,0.0
336,At-Bashi,41.17,75.81,45.57,55,45,5.61,KG,2020-06-28 16:17:41,light snow,0.0,0.22
337,Thompson,55.74,-97.86,59.0,93,90,8.05,CA,2020-06-28 16:17:41,overcast clouds,0.0,0.0
338,Novi Troyany,45.94,28.86,85.19,36,49,7.72,UA,2020-06-28 16:17:41,scattered clouds,0.0,0.0
339,Saint-Augustin,51.23,-58.65,61.9,64,28,17.31,CA,2020-06-28 16:17:41,scattered clouds,0.0,0.0
340,Xinmin,41.99,122.83,71.6,83,100,2.24,CN,2020-06-28 16:17:41,overcast clouds,0.0,0.0
341,Cockburn Town,21.46,-71.14,82.27,80,5,12.62,TC,2020-06-28 16:17:41,clear sky,0.0,0.0
342,Gondanglegi,-7.75,112.01,74.91,88,0,7.96,ID,2020-06-28 16:17:41,clear sky,0.0,0.0
343,Puerto Narino,-3.77,-70.38,84.2,79,75,3.36,CO,2020-06-28 16:17:42,broken clouds,0.0,0.0
344,Katsuura,35.13,140.3,73.0,94,100,6.55,JP,2020-06-28 16:17:42,overcast clouds,0.0,0.0
345,Antsohihy,-14.88,47.99,75.27,67,0,0.98,MG,2020-06-28 16:17:42,clear sky,0.0,0.0
346,Parral,26.93,-105.67,74.1,43,99,10.4,MX,2020-06-28 16:17:42,overcast clouds,0.0,0.0
347,Salalah,17.02,54.09,86.0,84,75,14.99,OM,2020-06-28 16:16:52,broken clouds,0.0,0.0
348,Constitucion,-35.33,-72.42,54.0,93,100,15.93,CL,2020-06-28 16:17:07,moderate rain,2.31,0.0
349,Uva,56.99,52.19,55.0,65,16,1.99,RU,2020-06-28 16:17:42,light rain,0.27,0.0
350,Barentu,15.11,37.59,86.99,35,80,10.74,ER,2020-06-28 16:17:42,broken clouds,0.0,0.0
351,Liverpool,53.41,-2.98,57.99,76,75,18.34,GB,2020-06-28 16:13:05,light intensity shower rain,0.0,0.0
352,Rio Gallegos,-51.62,-69.22,23.0,85,20,9.17,AR,2020-06-28 16:13:07,few clouds,0.0,0.0
353,Griffith,41.53,-87.42,82.99,78,90,3.36,US,2020-06-28 16:17:42,light rain,0.25,0.0
354,Faro,37.02,-7.93,82.0,57,1,11.41,PT,2020-06-28 16:17:42,clear sky,0.0,0.0
355,Hasaki,35.73,140.83,68.0,100,75,2.24,JP,2020-06-28 16:13:18,fog,0.0,0.0
356,Pacific Grove,36.62,-121.92,57.99,82,90,9.17,US,2020-06-28 16:16:00,overcast clouds,0.0,0.0
357,Svetlaya,46.54,138.33,52.77,85,94,9.6,RU,2020-06-28 16:17:42,overcast clouds,0.0,0.0
358,Neuquen,-38.95,-68.06,37.4,100,90,11.41,AR,2020-06-28 16:17:42,light intensity drizzle,0.0,0.0
359,Maniitsoq,65.42,-52.9,42.37,87,78,8.1,GL,2020-06-28 16:17:42,broken clouds,0.0,0.0
360,San Vicente,-26.62,-54.13,66.99,58,52,2.46,AR,2020-06-28 16:17:42,broken clouds,0.0,0.0
361,Saskylakh,71.92,114.08,69.39,52,92,8.86,RU,2020-06-28 16:17:42,overcast clouds,0.0,0.0
362,Korla,41.76,86.15,82.0,74,66,3.0,CN,2020-06-28 16:16:54,broken clouds,0.0,0.0
363,Comodoro Rivadavia,-45.87,-67.5,37.4,87,40,1.12,AR,2020-06-28 16:17:42,scattered clouds,0.0,0.0
364,Vardo,70.37,31.11,44.6,87,75,18.34,NO,2020-06-28 16:17:42,broken clouds,0.0,0.0
365,Prudyanka,50.24,36.17,84.2,42,20,8.95,UA,2020-06-28 16:17:42,few clouds,0.0,0.0
366,Antanifotsy,-19.65,47.32,52.81,80,0,2.59,MG,2020-06-28 16:17:42,clear sky,0.0,0.0
367,Sangar,63.92,127.47,60.66,81,86,0.27,RU,2020-06-28 16:17:42,overcast clouds,0.0,0.0
368,Moerai,-22.43,-151.33,68.41,75,50,23.58,PF,2020-06-28 16:17:42,scattered clouds,0.0,0.0
369,Lanzhou,36.06,103.79,75.99,47,0,4.03,CN,2020-06-28 16:17:43,clear sky,0.0,0.0
370,Suntar,62.14,117.63,68.0,54,52,5.84,RU,2020-06-28 16:17:43,broken clouds,0.0,0.0
371,Revelstoke,50.98,-118.2,62.2,55,100,3.2,CA,2020-06-28 16:17:43,overcast clouds,0.0,0.0
372,Tonj,7.27,28.68,83.25,62,15,4.12,SS,2020-06-28 16:17:43,few clouds,0.0,0.0
373,Port Antonio,18.18,-76.46,89.6,70,20,21.92,JM,2020-06-28 16:17:43,few clouds,0.0,0.0
374,Kiunga,-6.12,141.29,73.53,98,86,1.68,PG,2020-06-28 16:17:43,moderate rain,1.63,0.0
375,Sungaipenuh,-2.08,101.38,65.55,94,56,2.84,ID,2020-06-28 16:17:43,light rain,0.25,0.0
376,Beaverlodge,55.22,-119.44,53.6,87,75,11.41,CA,2020-06-28 16:17:43,broken clouds,0.0,0.0
377,Chabahar,25.29,60.64,86.09,83,27,10.38,IR,2020-06-28 16:17:43,scattered clouds,0.0,0.0
378,Padang,-0.95,100.35,79.32,78,24,3.42,ID,2020-06-28 16:17:43,few clouds,0.0,0.0
379,Filingue,14.35,3.32,105.24,18,15,1.7,NE,2020-06-28 16:17:43,few clouds,0.0,0.0
380,Vyartsilya,62.18,30.69,64.2,40,6,6.89,RU,2020-06-28 16:17:43,clear sky,0.0,0.0
381,Longyearbyen,78.22,15.64,42.8,70,75,9.17,SJ,2020-06-28 16:13:47,broken clouds,0.0,0.0
382,Mgandu,-5.95,34.13,69.44,42,17,5.46,TZ,2020-06-28 16:17:43,few clouds,0.0,0.0
383,Akdepe,42.06,59.38,82.4,23,100,9.17,TM,2020-06-28 16:17:43,overcast clouds,0.0,0.0
384,Kuusamo,65.97,29.18,62.6,36,42,3.36,FI,2020-06-28 16:17:43,scattered clouds,0.0,0.0
385,Aswan,24.09,32.91,104.2,10,34,10.94,EG,2020-06-28 16:17:43,scattered clouds,0.0,0.0
386,Salta,-24.79,-65.41,53.6,58,0,4.7,AR,2020-06-28 16:17:43,clear sky,0.0,0.0
387,Bintulu,3.17,113.03,78.8,94,40,2.24,MY,2020-06-28 16:17:43,scattered clouds,0.0,0.0
388,Pochutla,15.74,-96.47,87.8,66,75,6.93,MX,2020-06-28 16:17:43,broken clouds,0.0,0.0
389,Hohhot,40.81,111.65,62.6,82,40,2.24,CN,2020-06-28 16:17:43,scattered clouds,0.0,0.0
390,Kuybysheve,47.36,36.65,79.68,48,1,4.14,UA,2020-06-28 16:17:43,clear sky,0.0,0.0
391,Lacombe,52.47,-113.74,54.0,81,90,11.41,CA,2020-06-28 16:15:58,overcast clouds,0.0,0.0
392,Kawalu,-7.38,108.21,72.16,90,81,0.56,ID,2020-06-28 16:17:44,broken clouds,0.0,0.0
393,Impfondo,1.64,18.07,85.68,58,97,1.68,CG,2020-06-28 16:17:44,overcast clouds,0.0,0.0
394,Reftinskiy,57.09,61.68,50.0,87,90,17.9,RU,2020-06-28 16:17:44,overcast clouds,0.0,0.0
